,aggregate_gene_expression
LOC102163816,4314337.0
TTN,521371.0
LOC100513133,68321.0
LOC110257246,25913.0
NEBL,64823.0
ABLIM1,43738.0
CTDSP1,34930.0
ANKRD1,17243.0
MYBPC3,55300.0
L1TD1,27766.0
RPP30,7977.0
SLC8A1,27592.0
TPM1,14777.0
MYH7,17995.0
TNNI3,24758.0
DDX5,19563.0
LOC110256529,14460.0
RBPMS,32091.0
PFKFB1,19353.0
ZFAT,27885.0
SORBS2,17718.0
DDX17,20749.0
RYR2,25539.0
DLC1,10876.0
SORBS1,17584.0
TANC2,15719.0
MYL2,13274.0
ZBTB20,12283.0
PDE4D,30482.0
TCP11,14098.0
LOC102162486,11947.0
LOC106504879,14965.0
CMYA5,23999.0
REL,11633.0
AAK1,14488.0
RBM24,24900.0
TPM2,16373.0
LOC100516731,15001.0
PDLIM5,22455.0
LOC110255408,13249.0
LOC100624559,18973.0
GLS,12944.0
LOC102164640,11536.0
LUC7L3,11592.0
LOC100626591,9954.0
SPTBN1,13334.0
CRYBG3,16365.0
CD36,14143.0
FKBP14,6363.0
TXNIP,7942.0
FHL2,29313.0
ZNF671,10836.0
TCEANC2,9111.0
ACTC1,18001.0
ACTA1,6178.0
ATP2A2,19672.0
LACC1,8206.0
LCMT2,9039.0
LOC110260761,10299.0
LOC106508546,8334.0
C12H17orf100,6833.0
LOC110261249,10312.0
B3GALNT1,10261.0
PNISR,11741.0
ALG11,9554.0
NKTR,7240.0
MFSD4A,8833.0
SON,9856.0
ATXN7,7986.0
PSPC1,7060.0
TRA2A,7711.0
LOC110255584,8193.0
CPSF4L,7497.0
MYH7B,13097.0
QKI,9368.0
MARS2,8959.0
PNPT1,9800.0
LOC110257572,6863.0
COL3A1,923.0
NEMP2,9139.0
CAMK2D,14110.0
GHR,8596.0
PPARGC1A,12016.0
SLC25A4,17809.0
AKAP8L,8131.0
COL1A1,1122.0
KLF8,8316.0
TRIT1,7303.0
TNRC6B,7913.0
TNNT2,19125.0
LOC106504370,8204.0
TAPBP,6446.0
TIA1,7854.0
TAF1D,7622.0
GSN,951.0
WWOX,5982.0
NEXN,11605.0
COL4A1,2041.0
SLC25A30,7666.0
DMD,14931.0
IVNS1ABP,8669.0
FBXO22,6899.0
LOC100525572,4953.0
MRPS30,7430.0
LMO4,13457.0
ELMO1,4624.0
COL1A2,912.0
NREP,10288.0
LOC102161784,6502.0
LOC110255807,7199.0
LOC100525433,7546.0
NRIP1,5808.0
SLC25A29,7855.0
LOC102160368,6710.0
DDX39B,4213.0
LOC110259223,4303.0
LOC110261655,5759.0
TCAP,8975.0
KYNU,4242.0
CPNE3,12307.0
ANKS4B,5762.0
DCN,801.0
MOCS2,5702.0
LMOD2,7007.0
TRIM13,6011.0
MYL7,4044.0
CFLAR,4569.0
DPY19L4,7169.0
ARL15,5267.0
ZBTB2,6021.0
FBXL20,4878.0
CD84,7676.0
SRRM2,5146.0
ZMYM1,6295.0
LOC110259691,9000.0
MGP,885.0
SF3B1,4959.0
LOC110255652,5656.0
LOC110261306,5178.0
RRP8,5751.0
ANKRD42,5957.0
LYRM7,5539.0
WDR33,6024.0
YPEL1,5011.0
MACF1,7602.0
LMO7,12877.0
TTC14,5142.0
MYL3,9699.0
MBD5,6013.0
SOX6,7410.0
LOC100302368,6260.0
FILIP1,7551.0
PPIP5K2,6194.0
LOC100513362,5784.0
STRN,6221.0
SAMD5,6003.0
LOC102158906,5748.0
FILIP1L,4819.0
LOC106505107,4783.0
LOC106505411,6023.0
LOC110259304,5775.0
AGL,8129.0
ATF7IP,6239.0
NPPB,689.0
CPT1B,9027.0
CALD1,6684.0
HNRNPH1,4348.0
ACTG1,5111.0
SLC16A10,6822.0
PNPLA4,5749.0
CTNND1,4513.0
NEK4,7051.0
TRPC1,4139.0
DDX46,4571.0
MLIP,7713.0
NAIF1,7249.0
LOC110256118,4927.0
GGCX,7177.0
ACTB,4051.0
LOC110257314,5573.0
DES,4613.0
AP4S1,5550.0
