,aggregate_gene_expression
LOC102163816,7927768.0
TTN,586617.0
LOC100513133,41857.0
LOC110257246,86714.0
NEBL,86561.0
ABLIM1,35682.0
CTDSP1,85993.0
ANKRD1,13882.0
MYBPC3,37597.0
L1TD1,37269.0
RPP30,3260.0
SLC8A1,66453.0
TPM1,24782.0
MYH7,33546.0
TNNI3,38191.0
DDX5,46208.0
LOC110256529,21070.0
RBPMS,41130.0
PFKFB1,23824.0
ZFAT,20436.0
SORBS2,40448.0
DDX17,36550.0
RYR2,33784.0
DLC1,25752.0
SORBS1,12881.0
TANC2,25088.0
MYL2,40896.0
ZBTB20,22776.0
PDE4D,48393.0
TCP11,18223.0
LOC102162486,17018.0
LOC106504879,18567.0
CMYA5,37531.0
REL,15920.0
AAK1,21985.0
RBM24,22425.0
TPM2,48355.0
LOC100516731,18191.0
PDLIM5,31246.0
LOC110255408,19832.0
LOC100624559,18576.0
GLS,10335.0
LOC102164640,11887.0
LUC7L3,23269.0
LOC100626591,14630.0
SPTBN1,26086.0
CRYBG3,18865.0
CD36,12381.0
FKBP14,15368.0
TXNIP,14390.0
FHL2,20052.0
ZNF671,17127.0
TCEANC2,15053.0
ACTC1,44256.0
ACTA1,11093.0
ATP2A2,28166.0
LACC1,13022.0
LCMT2,15094.0
LOC110260761,11540.0
LOC106508546,13810.0
C12H17orf100,10858.0
LOC110261249,15634.0
B3GALNT1,8480.0
PNISR,15704.0
ALG11,9815.0
NKTR,11615.0
MFSD4A,12443.0
SON,17503.0
ATXN7,11089.0
PSPC1,9379.0
TRA2A,8222.0
LOC110255584,11011.0
CPSF4L,10336.0
MYH7B,21626.0
QKI,17005.0
MARS2,18905.0
PNPT1,11090.0
LOC110257572,8543.0
COL3A1,3364.0
NEMP2,12481.0
CAMK2D,11262.0
GHR,11269.0
PPARGC1A,7780.0
SLC25A4,31329.0
AKAP8L,12922.0
COL1A1,4213.0
KLF8,8894.0
TRIT1,10849.0
TNRC6B,11330.0
TNNT2,21378.0
LOC106504370,13414.0
TAPBP,3687.0
TIA1,11196.0
TAF1D,10605.0
GSN,1377.0
WWOX,8180.0
NEXN,15929.0
COL4A1,4883.0
SLC25A30,7890.0
DMD,18411.0
IVNS1ABP,6555.0
FBXO22,9857.0
LOC100525572,7252.0
MRPS30,9582.0
LMO4,19353.0
ELMO1,7591.0
COL1A2,5020.0
NREP,48418.0
LOC102161784,10454.0
LOC110255807,8767.0
LOC100525433,10876.0
NRIP1,8435.0
SLC25A29,3771.0
LOC102160368,9271.0
DDX39B,14311.0
LOC110259223,6717.0
LOC110261655,12462.0
TCAP,16458.0
KYNU,5894.0
CPNE3,10379.0
ANKS4B,9836.0
DCN,2572.0
MOCS2,8824.0
LMOD2,6879.0
TRIM13,8301.0
MYL7,16178.0
CFLAR,8084.0
DPY19L4,9955.0
ARL15,7785.0
ZBTB2,8883.0
FBXL20,7359.0
CD84,9886.0
SRRM2,11239.0
ZMYM1,9206.0
LOC110259691,7498.0
MGP,1693.0
SF3B1,6679.0
LOC110255652,8507.0
LOC110261306,8302.0
RRP8,8020.0
ANKRD42,8581.0
LYRM7,9074.0
WDR33,8919.0
YPEL1,7422.0
MACF1,10250.0
LMO7,19812.0
TTC14,7067.0
MYL3,23920.0
MBD5,11759.0
SOX6,12245.0
LOC100302368,9759.0
FILIP1,14480.0
PPIP5K2,13306.0
LOC100513362,7649.0
STRN,7796.0
SAMD5,7563.0
LOC102158906,10110.0
FILIP1L,7328.0
LOC106505107,6883.0
LOC106505411,7621.0
LOC110259304,8684.0
AGL,14189.0
ATF7IP,9470.0
NPPB,12697.0
CPT1B,7355.0
CALD1,9058.0
HNRNPH1,4500.0
ACTG1,6279.0
SLC16A10,9929.0
PNPLA4,7514.0
CTNND1,6562.0
NEK4,5178.0
TRPC1,8088.0
DDX46,9115.0
MLIP,8721.0
NAIF1,8696.0
LOC110256118,6884.0
GGCX,7588.0
ACTB,6000.0
LOC110257314,7555.0
DES,12001.0
AP4S1,7839.0
RBFOX2,9828.0
YIPF4,8536.0
IGFBP5,353.0
SMG1,6902.0
LOC106506279,7097.0
LOC106508918,8561.0
SFPQ,6492.0
LIMS1,5555.0
AKAP9,11030.0
NOC3L,7784.0
GPATCH2,7527.0
HOOK3,8392.0
ARL14EP,9854.0
HIVEP2,5249.0
ZRANB2,8226.0
LPP,9829.0
LOC110261595,5867.0
LOC110257311,5741.0
NFAT5,6855.0
ITGB1,8092.0
LOC110257073,6654.0
PAG1,7819.0
UBE3A,8301.0
FAM227B,8267.0
LAMA2,8083.0
SEC61A1,8482.0
ELAC1,6282.0
LOC100521069,6588.0
PEX19,6518.0
ACSM5,6640.0
PGBD1,5676.0
LOC106508625,4915.0
LOC397451,4541.0
ENKUR,8088.0
DST,5838.0
GOLGA4,5838.0
NTRK2,4675.0
LOC106510599,7112.0
CASP10,6434.0
SLC39A14,6239.0
PRRC2C,5528.0
LOC110260596,7649.0
LOC102167727,6669.0
ADCY6,7896.0
LOC102164547,7410.0
LOC100737186,6606.0
SYNE2,5000.0
MAML2,6821.0
HNRNPU,6312.0
PNN,11133.0
CD109,6471.0
PCM1,8712.0
SPATA6,6986.0
NLRC3,7715.0
NACA,12097.0
LOC102161091,6305.0
LOC100737218,6784.0
LOC110255544,4642.0
GK,6316.0
KLF12,7129.0
UVSSA,5862.0
DGKH,6824.0
SRSF5,4213.0
LOC100520317,7093.0
MITD1,6124.0
LRMDA,7066.0
NOXRED1,6052.0
THBS1,866.0
ZCCHC11,8496.0
LRRFIP2,8913.0
MAP3K5,6575.0
DUSP11,5342.0
LOC110255653,8861.0
HOMER1,10443.0
VAPB,5810.0
C15H2orf88,10542.0
LOC110260676,7018.0
PPM1K,5040.0
MYOZ2,7615.0
VEGFA,2936.0
OSGEPL1,7005.0
ECHDC1,6539.0
ZNF84,6729.0
MBNL1,7344.0
LOC100520512,245.0
JUN,6251.0
BTG2,1802.0
PIK3R1,4755.0
LDB3,9256.0
LOC110261250,6477.0
ANKRD6,7342.0
CPEB4,6890.0
ARGLU1,5831.0
PRPF4B,8388.0
GADD45G,5639.0
KSR1,6293.0
MYL6,5629.0
ST7,6125.0
DNAJB4,5614.0
LOC110260441,6001.0
TTC5,6353.0
ZNF605,6602.0
GLUL,791.0
NRAP,4342.0
DCP1B,4264.0
LARP7,7583.0
HNRNPDL,6875.0
CIRBP,4878.0
ACER3,6576.0
EXOC4,6121.0
BCL2,4243.0
LOC100621388,5929.0
LOC100620825,6821.0
