,aggregate_gene_expression
LOC102163816,4766349.0
TTN,620293.0
LOC100513133,98543.0
LOC110257246,77809.0
NEBL,87889.0
ABLIM1,68584.0
CTDSP1,53265.0
ANKRD1,83101.0
MYBPC3,50694.0
L1TD1,33836.0
RPP30,42091.0
SLC8A1,38021.0
TPM1,39459.0
MYH7,36387.0
TNNI3,32143.0
DDX5,27948.0
LOC110256529,23211.0
RBPMS,33201.0
PFKFB1,21673.0
ZFAT,27749.0
SORBS2,36007.0
DDX17,22586.0
RYR2,31595.0
DLC1,24775.0
SORBS1,30495.0
TANC2,21431.0
MYL2,30650.0
ZBTB20,19620.0
PDE4D,31927.0
TCP11,21182.0
LOC102162486,17939.0
LOC106504879,17671.0
CMYA5,26481.0
REL,17086.0
AAK1,24240.0
RBM24,25624.0
TPM2,24742.0
LOC100516731,19125.0
PDLIM5,27716.0
LOC110255408,19121.0
LOC100624559,23985.0
GLS,16716.0
LOC102164640,16352.0
LUC7L3,14559.0
LOC100626591,15404.0
SPTBN1,20120.0
CRYBG3,18849.0
CD36,18172.0
FKBP14,16105.0
TXNIP,16120.0
FHL2,27369.0
ZNF671,16321.0
TCEANC2,14728.0
ACTC1,25423.0
ACTA1,21693.0
ATP2A2,22021.0
LACC1,13648.0
LCMT2,14747.0
LOC110260761,14391.0
LOC106508546,13611.0
C12H17orf100,14484.0
LOC110261249,14052.0
B3GALNT1,16039.0
PNISR,12575.0
ALG11,13007.0
NKTR,11809.0
MFSD4A,14659.0
SON,11073.0
ATXN7,11428.0
PSPC1,11519.0
TRA2A,10517.0
LOC110255584,10410.0
CPSF4L,12625.0
MYH7B,20127.0
QKI,16036.0
MARS2,14717.0
PNPT1,13938.0
LOC110257572,10810.0
COL3A1,2987.0
NEMP2,12496.0
CAMK2D,16462.0
GHR,13555.0
PPARGC1A,17717.0
SLC25A4,16686.0
AKAP8L,11642.0
COL1A1,3245.0
KLF8,12532.0
TRIT1,11665.0
TNRC6B,10835.0
TNNT2,16025.0
LOC106504370,12239.0
TAPBP,13486.0
TIA1,10913.0
TAF1D,10592.0
GSN,1614.0
WWOX,9126.0
NEXN,16122.0
COL4A1,4124.0
SLC25A30,13493.0
DMD,15905.0
IVNS1ABP,13787.0
FBXO22,11282.0
LOC100525572,7230.0
MRPS30,10686.0
LMO4,12759.0
ELMO1,10791.0
COL1A2,2758.0
NREP,12038.0
LOC102161784,10109.0
LOC110255807,10493.0
LOC100525433,11488.0
NRIP1,9378.0
SLC25A29,11069.0
LOC102160368,9107.0
DDX39B,10080.0
LOC110259223,7219.0
LOC110261655,9565.0
TCAP,14792.0
KYNU,7428.0
CPNE3,11816.0
ANKS4B,10445.0
DCN,1203.0
MOCS2,9647.0
LMOD2,13974.0
TRIM13,9336.0
MYL7,13161.0
CFLAR,7012.0
DPY19L4,10484.0
ARL15,7621.0
ZBTB2,9402.0
FBXL20,7831.0
CD84,10255.0
SRRM2,7827.0
ZMYM1,9504.0
LOC110259691,9995.0
MGP,1681.0
SF3B1,6177.0
LOC110255652,9138.0
LOC110261306,8771.0
RRP8,8764.0
ANKRD42,8857.0
LYRM7,9144.0
WDR33,8793.0
YPEL1,9051.0
MACF1,10163.0
LMO7,14054.0
TTC14,7540.0
MYL3,12981.0
MBD5,10226.0
SOX6,10781.0
LOC100302368,8969.0
FILIP1,10053.0
PPIP5K2,14424.0
LOC100513362,7919.0
STRN,10799.0
SAMD5,8596.0
LOC102158906,8051.0
FILIP1L,7668.0
LOC106505107,7533.0
LOC106505411,8721.0
LOC110259304,9267.0
AGL,10634.0
ATF7IP,8321.0
NPPB,18652.0
CPT1B,10513.0
CALD1,7573.0
HNRNPH1,6337.0
ACTG1,11278.0
SLC16A10,9637.0
PNPLA4,10331.0
CTNND1,7480.0
NEK4,9650.0
TRPC1,8047.0
DDX46,6753.0
MLIP,13578.0
NAIF1,9439.0
LOC110256118,7464.0
GGCX,8447.0
ACTB,9472.0
LOC110257314,8030.0
DES,14267.0
AP4S1,8239.0
RBFOX2,8884.0
YIPF4,8031.0
IGFBP5,854.0
SMG1,7442.0
LOC106506279,7499.0
LOC106508918,7765.0
SFPQ,7136.0
LIMS1,7387.0
AKAP9,7894.0
NOC3L,7914.0
GPATCH2,7785.0
HOOK3,7640.0
ARL14EP,7637.0
HIVEP2,7758.0
ZRANB2,6363.0
LPP,8610.0
LOC110261595,9004.0
LOC110257311,6961.0
NFAT5,7402.0
ITGB1,7776.0
LOC110257073,6921.0
PAG1,7581.0
UBE3A,7864.0
FAM227B,7258.0
LAMA2,5344.0
SEC61A1,7698.0
ELAC1,7095.0
LOC100521069,7949.0
PEX19,7324.0
ACSM5,8550.0
PGBD1,7180.0
LOC106508625,5502.0
LOC397451,6660.0
ENKUR,7763.0
DST,7289.0
GOLGA4,7838.0
NTRK2,6519.0
LOC106510599,7756.0
CASP10,6542.0
SLC39A14,9768.0
PRRC2C,5785.0
LOC110260596,6617.0
LOC102167727,7180.0
ADCY6,10092.0
LOC102164547,7819.0
LOC100737186,7443.0
SYNE2,5860.0
MAML2,3880.0
HNRNPU,6637.0
PNN,5964.0
CD109,6990.0
PCM1,6436.0
SPATA6,6787.0
NLRC3,7718.0
NACA,9718.0
LOC102161091,7241.0
LOC100737218,7129.0
LOC110255544,5439.0
GK,8124.0
KLF12,6743.0
UVSSA,7949.0
DGKH,7426.0
SRSF5,5979.0
LOC100520317,7289.0
MITD1,8404.0
LRMDA,6620.0
NOXRED1,7273.0
THBS1,2919.0
ZCCHC11,6132.0
LRRFIP2,8871.0
MAP3K5,8950.0
DUSP11,6037.0
LOC110255653,7453.0
HOMER1,9040.0
VAPB,6377.0
C15H2orf88,9041.0
LOC110260676,7081.0
PPM1K,8174.0
MYOZ2,11447.0
VEGFA,8596.0
OSGEPL1,6640.0
ECHDC1,6710.0
ZNF84,7502.0
MBNL1,6010.0
LOC100520512,673.0
JUN,7748.0
BTG2,9548.0
PIK3R1,3515.0
LDB3,10582.0
LOC110261250,7493.0
ANKRD6,8209.0
CPEB4,8706.0
ARGLU1,5026.0
PRPF4B,4750.0
GADD45G,10262.0
KSR1,6614.0
MYL6,8288.0
ST7,7519.0
DNAJB4,7415.0
LOC110260441,6332.0
TTC5,6715.0
ZNF605,6307.0
GLUL,2099.0
NRAP,10520.0
DCP1B,7713.0
LARP7,6271.0
HNRNPDL,5812.0
CIRBP,5665.0
ACER3,5794.0
EXOC4,5939.0
BCL2,5288.0
LOC100621388,6211.0
LOC100620825,6218.0
SLC6A20,6740.0
LTV1,6385.0
CTCF,6231.0
UBR2,6661.0
SASH1,5197.0
SDR42E1,6697.0
ACIN1,5292.0
NUDT6,6326.0
LOC100520273,6507.0
PCNP,5866.0
LOC100521680,5237.0
LOC110256171,6362.0
CELF2,5454.0
ZNF644,6823.0
TRPM7,7227.0
LOC100513397,6302.0
STXBP4,6989.0
RORA,5007.0
C14H10orf62,6739.0
LOC102163381,6379.0
LOC102166633,6269.0
TNIP2,5890.0
LOC110256684,6182.0
ARMC2,3042.0
LOC102165098,6111.0
LOC106506763,5870.0
EIF4A2,5333.0
PPP1R3G,5991.0
LOC106507710,6356.0
MDM4,5636.0
LOC110259451,7169.0
LOC100624329,6307.0
MYOM2,8284.0
SSR3,5111.0
RNF168,5025.0
LOC100523609,6355.0
SRRM1,6008.0
NBEAL1,6215.0
LOC110260100,7878.0
TSPAN12,8266.0
