,aggregate_gene_expression
LOC102163816,4648435.0
TTN,808324.0
LOC100513133,193725.0
LOC110257246,52758.0
NEBL,110757.0
ABLIM1,109825.0
CTDSP1,122989.0
ANKRD1,17647.0
MYBPC3,74731.0
L1TD1,35230.0
RPP30,37697.0
SLC8A1,32713.0
TPM1,33064.0
MYH7,40221.0
TNNI3,29874.0
DDX5,40626.0
LOC110256529,29507.0
RBPMS,34253.0
PFKFB1,11407.0
ZFAT,49082.0
SORBS2,49404.0
DDX17,68802.0
RYR2,46261.0
DLC1,24021.0
SORBS1,61913.0
TANC2,18171.0
MYL2,42304.0
ZBTB20,28256.0
PDE4D,59646.0
TCP11,29669.0
LOC102162486,26542.0
LOC106504879,18623.0
CMYA5,14207.0
REL,20611.0
AAK1,30720.0
RBM24,55147.0
TPM2,25835.0
LOC100516731,19403.0
PDLIM5,43493.0
LOC110255408,31015.0
LOC100624559,37227.0
GLS,29907.0
LOC102164640,12567.0
LUC7L3,20713.0
LOC100626591,18017.0
SPTBN1,28499.0
CRYBG3,22118.0
CD36,47994.0
FKBP14,12744.0
TXNIP,22271.0
FHL2,30672.0
ZNF671,23708.0
TCEANC2,16096.0
ACTC1,23933.0
ACTA1,24410.0
ATP2A2,28670.0
LACC1,11632.0
LCMT2,17999.0
LOC110260761,18038.0
LOC106508546,17715.0
C12H17orf100,16516.0
LOC110261249,16872.0
B3GALNT1,18517.0
PNISR,15218.0
ALG11,10837.0
NKTR,15547.0
MFSD4A,18677.0
SON,10580.0
ATXN7,11849.0
PSPC1,15246.0
TRA2A,14483.0
LOC110255584,13262.0
CPSF4L,12820.0
MYH7B,52254.0
QKI,19992.0
MARS2,20331.0
PNPT1,17986.0
LOC110257572,16060.0
COL3A1,1680.0
NEMP2,16249.0
CAMK2D,23409.0
GHR,17883.0
PPARGC1A,22137.0
SLC25A4,18189.0
AKAP8L,16716.0
COL1A1,1330.0
KLF8,21163.0
TRIT1,17164.0
TNRC6B,15972.0
TNNT2,17724.0
LOC106504370,20058.0
TAPBP,9395.0
TIA1,15120.0
TAF1D,9930.0
GSN,1716.0
WWOX,13332.0
NEXN,13006.0
COL4A1,3644.0
SLC25A30,14955.0
DMD,23062.0
IVNS1ABP,21007.0
FBXO22,15133.0
LOC100525572,9873.0
MRPS30,13897.0
LMO4,14662.0
ELMO1,15338.0
COL1A2,1109.0
NREP,21527.0
LOC102161784,10060.0
LOC110255807,13875.0
LOC100525433,15317.0
NRIP1,13713.0
SLC25A29,10008.0
LOC102160368,14156.0
DDX39B,10017.0
LOC110259223,7625.0
LOC110261655,13310.0
TCAP,33572.0
