Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	UV Response Dn	68/144	5.949482009845806e-09	1.9190939121331259e-07	0	0	2.7074315960216846	51.278650675397486	PHF3;NRP1;CELF2;ITGB3;FHL2;PRDM2;VLDLR;LAMC1;NR3C1;RND3;IGF1R;SYNE1;GJA1;NIPBL;EFEMP1;ZMIZ1;PDGFRB;WDR37;IGFBP5;ANXA2;MIOS;SFMBT1;DUSP1;ATRX;DYRK1A;TGFBR2;TGFBR3;INPP4B;ATRN;PLCB4;MMP16;MAP1B;RASA2;PLPP3;NOTCH2;YTHDC1;GCNT1;SRI;ADD3;KALRN;FBLN5;SCAF8;ATXN1;GRK5;PDLIM5;LDLR;MAP2K5;RBPMS;NEK7;ATP2B4;SYNJ2;ATP2B1;CDC42BPA;NFKB1;COL1A1;TJP1;DLG1;DAB2;COL3A1;COL1A2;NFIB;DLC1;COL5A2;PMP22;AGGF1;CDK13;ADGRL2;BMPR1A
MSigDB_Hallmark_2020	Myogenesis	87/200	7.676375648532502e-09	1.9190939121331259e-07	0	0	2.3329274509203506	43.59102545694974	EIF4A2;RB1;ITGB1;APP;MYOM1;VIPR1;SPARC;HSPB8;FHL1;HSPB2;LDB3;ENO3;CLU;MYOM2;CSRP3;SGCD;AKT2;CD36;SPTAN1;PPFIA4;SGCG;MEF2A;MYBPC3;MEF2C;PTGIS;ACTN2;ACSL1;TPM3;DAPK2;TNNC1;SPHK1;TPM2;NAV2;ACTA1;MYH2;PTP4A3;MYL7;PPP1R3C;COL4A2;MYL2;TNNT2;MYL3;CASQ2;COL6A3;MYH9;CDH13;ITGA7;CRYAB;HBEGF;MYH7;CFD;CHRNA1;HDAC5;TAGLN;COL15A1;LAMA2;FLII;COX7A1;CKMT2;ABLIM1;APOD;DMD;IGFBP7;NCAM1;MEF2D;PDLIM7;SPDEF;WWTR1;SVIL;DTNA;GSN;DMPK;CKM;AGL;IGF1;SORBS1;MAPK12;COL1A1;REEP1;SMTN;COL3A1;RIT1;ACTC1;DES;SSPN;TCAP;LPIN1
MSigDB_Hallmark_2020	Mitotic Spindle	82/199	3.479131636948459e-07	5.798552728247431e-06	0	0	2.120947643924464	31.54127609533041	CEP57;YWHAE;TRIO;WASL;SMC3;ARHGAP5;PKD2;SMC4;AKAP13;PCM1;KIF5B;CNTRL;CEP250;TLK1;KIF1B;SPTAN1;ARHGEF11;SUN2;ARHGEF12;DST;RFC1;ACTN4;RHOF;SMC1A;CD2AP;LATS1;ARHGAP10;CLIP1;ALS2;INCENP;PALLD;RASA1;RASA2;MYH9;ARHGEF2;RAPGEF5;SOS1;RAPGEF6;VCL;ARF6;PAFAH1B1;NOTCH2;RABGAP1;STAU1;ROCK1;EPB41;TUBGCP2;PXN;RASAL2;CDC42;FGD4;CYTH2;FGD6;BCL2L11;KIF3B;EPB41L2;STK38L;FLNA;RICTOR;PDLIM5;MYH10;WASF2;SPTBN1;CLASP1;ARFGEF1;GSN;PCGF5;ARHGAP29;SORBS2;HOOK3;SSH2;CDC42BPA;CCDC88A;ANLN;DLG1;MARCKS;NIN;APC;CENPJ;SASS6;NF1;TUBGCP6
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	79/200	4.013655668126224e-06	5.01706958515778e-05	0	0	1.9740679597138928	24.52938963191613	ITGB1;OXTR;ECM1;SPARC;ECM2;ELN;ITGB3;COL12A1;PLOD2;PLOD1;LAMC1;SAT1;GJA1;SGCD;CDH2;DPYSL3;TIMP3;ITGAV;EDIL3;COLGALT1;SGCG;PDGFRB;POSTN;TNFRSF12A;TPM4;DST;IL15;TPM2;MMP2;TPM1;P3H1;DCN;RHOB;TGFBR3;VCAN;COL4A2;COL4A1;CDH11;GAS1;COL6A3;ITGA5;CD44;FBN2;NOTCH2;TAGLN;SDC4;LAMA2;LRP1;FBLN1;FSTL1;NID2;FBLN2;THBS1;FBLN5;CALD1;SERPINH1;FLNA;SLIT3;MEST;JUN;LUM;FN1;INHBA;VEGFA;COL1A1;MFAP5;COL3A1;DAB2;COL1A2;COL5A2;MGP;CALU;PMP22;FAS;TGFBI;VIM;FERMT2;SNTB1;FBN1
MSigDB_Hallmark_2020	Protein Secretion	37/96	0.0022773267715921	0.0227732677159219	0	0	1.8879265889617065	11.487566961795132	CD63;ARF1;SGMS1;STX16;VPS4B;GOSR2;CLTC;SNAP23;USO1;ATP1A1;CLCN3;RAB22A;RPS6KA3;GOLGA4;TSPAN8;KIF1B;ARFIP1;ATP7A;CTSC;SEC31A;TPD52;ARFGEF1;ABCA1;ARFGEF2;MON2;DST;BNIP3;GBF1;M6PR;AP2B1;RER1;RAB14;GNAS;YIPF6;SSPN;VAMP4;PAM
MSigDB_Hallmark_2020	Androgen Response	37/100	0.0050810543367485	0.0423421194729049	0	0	1.7675848900914386	9.33680140971887	SRP19;TNFAIP8;B4GALT1;HPGD;ABHD2;GNAI3;UAP1;SAT1;CDC14B;ELK4;AKAP12;RPS6KA3;CCND1;ANKH;ZMIZ1;ADAMTS1;PTK2B;ITGAV;PDLIM5;B2M;SLC38A2;SPDEF;TPD52;UBE2I;HMGCS1;TSC22D1;HOMER2;ARID5B;MERTK;PIAS1;INPP4B;SPCS3;CDK6;APPBP2;SELENOP;BMPR1B;FKBP5
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	66/200	0.0065413450023003	0.0467238928735741	0	0	1.4840007502011627	7.463948688812525	BTG2;TNFAIP8;BTG1;B4GALT1;CD80;RNF19B;IRS2;SLC2A3;SAT1;SLC2A6;ETS2;IFIT2;ZFP36;CCND1;KYNU;PDE4B;MAP3K8;DENND5A;CCNL1;JUNB;MAP2K3;TSC22D1;DUSP1;DDX58;SPHK1;RHOB;NINJ1;PLPP3;IL6ST;ATF3;CD44;HBEGF;TLR2;BIRC3;B4GALT5;NFAT5;SDC4;CEBPD;FUT4;DNAJB4;PDLIM5;LDLR;MCL1;ABCA1;EGR1;JUN;JAG1;INHBA;CFLAR;ATP2B1;NFKB1;PNRC1;KLF2;FOSL2;EIF1;VEGFA;PER1;PTPRE;KLF6;MARCKS;NR4A3;BCL6;TNIP2;REL;TNFSF9;NFE2L2
MSigDB_Hallmark_2020	Apoptosis	53/161	0.0143527887579556	0.0897049297372226	0	0	1.477281405116457	6.269303102426087	APP;BTG2;HSPB1;BRCA1;CLU;SAT1;CCND2;CCND1;PEA15;TNFSF10;TIMP2;TIMP3;CD38;SPTAN1;PDGFRB;BNIP3L;TNFRSF12A;GPX4;IFNGR1;MMP2;F2R;EMP1;AVPR1A;DCN;CDC25B;EREG;RHOB;TGFBR3;TXNIP;ATF3;CD44;DAP3;BIRC3;RETSAT;ROCK1;XIAP;GNA15;BCL2L11;ANKH;LMNA;IGFBP6;MCL1;JUN;CREBBP;TGFB2;GSN;LUM;CFLAR;DNAJA1;CYLD;PDCD4;FAS;BCL2L1
MSigDB_Hallmark_2020	Adipogenesis	61/200	0.044570283012174	0.2090437825227276	0	0	1.320456329813655	4.107527583363832	ORM1;SLC27A1;PHLDB1;HSPB8;ETFB;CPT2;DBT;CD36;ACADM;HADH;PGM1;PHYH;MIGA2;GPX4;IFNGR1;OMD;SDHB;COL4A1;ACOX1;SPARCL1;ITGA7;SUCLG1;ALDOA;ITIH5;PPP1R15B;COL15A1;RETSAT;LAMA4;PTGER3;AK2;LPL;BAZ2A;ADCY6;AGPAT3;C3;BCL2L13;UBC;STOM;DECR1;ABCA1;ESRRA;PTCD3;CAVIN1;NDUFA5;FZD4;CAVIN2;IDH1;SQOR;VEGFB;CHCHD10;IMMT;SORBS1;COQ5;CS;COQ3;GPAM;REEP5;BCL6;SSPN;PDCD4;ACO2
MSigDB_Hallmark_2020	Myc Targets V1	61/200	0.044570283012174	0.2090437825227276	0	0	1.320456329813655	4.107527583363832	YWHAE;EIF4A1;SLC25A3;HSP90AB1;RPL34;RPLP0;HNRNPU;HNRNPR;RPL6;EEF1B2;SYNCRIP;XPO1;RACK1;DHX15;RPS10;TOMM70;CCT2;SMARCC1;NCBP2;PABPC4;RPS5;RPL22;RPS6;GNL3;CANX;SRSF2;SNRPG;SRSF3;PABPC1;SRSF7;KPNB1;SRSF1;DDX21;U2AF1;TRA2B;G3BP1;FAM120A;RPS3;RPL14;RPS2;RPL18;HNRNPA1;NOP56;HNRNPA3;SSB;NOP16;PTGES3;CNBP;NAP1L1;DEK;EIF2S2;SRPK1;HNRNPA2B1;SERBP1;EIF3J;HNRNPD;HNRNPC;SSBP1;TARDBP;EIF3D;EIF4G2
